pno1,pno2,rank1,rank2
4383750,3973398,7,13
5190254,4843213,11,12
8157469,8721639,11,12
8031444,6425513,13,13
5279703,5335324,9,12
7815670,5170976,6,2
7815670,5170976,4,10
4115952,4636666,3,1
8230643,5312773,8,10
8716782,6281107,12,3
8716782,6281107,3,7
8716782,6281107,1,8
6961227,6976858,5,10
7420983,4912634,1,3
7453619,4568079,1,9
6519138,6227904,3,10
6290145,8061632,3,11
7725653,7617087,7,6
8249388,8340630,10,11
5019788,4092693,12,11
5141915,4819412,5,4
4547458,6307316,10,2
7621623,5388874,12,1
4839279,5487985,8,13
8191710,6381422,3,13
4402493,6128889,7,10
7259679,7554351,13,6
7259679,7554351,12,12
7326387,8033814,6,5
